 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês processamento e Unidade da Federação
Período:Jan/2008-Mar/2021
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2008";71821;46087;163791;24703;509338;31564;98328;327886;226411;480561;161087;223474;489817;178029;99590;829707;1124789;178076;629592;2162155;729514;369749;712789;150921;173159;362648;188017;10743603
"..Janeiro/2008";4142;2087;9325;1475;38628;2386;6665;21417;15878;29823;9916;17126;25390;12168;5832;41659;67509;9502;34859;125361;51180;23728;41729;9636;9975;26465;7754;651615
"..Fevereiro/2008";7301;3071;12754;1812;41530;2650;7638;25681;18994;39604;12779;17409;35496;14315;7015;51637;89738;12962;37109;155799;61926;30418;64477;11206;14329;34641;12057;824348
"..Março/2008";4318;3783;14780;1813;42790;2262;9491;26368;18383;42328;14022;19013;40756;13861;8804;59728;96161;15098;57367;169738;63178;30982;61229;12012;14124;32161;14746;889296
"..Abril/2008";4285;3737;14556;1964;41112;2259;8330;28277;18909;44200;14067;19821;45354;15975;9035;74525;93949;15108;51389;178746;60734;30729;64063;12609;14822;32994;14754;916303
"..Maio/2008";4511;3609;12833;2037;44643;1555;8627;27902;19418;43822;15292;19289;44463;15549;8635;79931;96064;13899;56472;200439;60660;31003;56673;13120;14620;32742;16759;944567
"..Junho/2008";3871;4026;14073;2030;43506;2611;8166;28708;19207;43460;14233;18980;43083;16184;9356;85057;106686;15902;59898;193555;63040;33146;58261;14507;16373;27990;17907;963816
"..Julho/2008";7560;4880;15430;2307;45110;2733;8706;29416;20157;42789;14660;19467;42625;15816;10002;79247;98481;16705;57557;202386;62952;32894;64280;13668;15433;30697;17778;973736
"..Agosto/2008";7615;4250;15660;2153;43661;2808;8315;28910;19111;41577;13871;19246;45843;15224;8858;78254;98257;15869;58857;194738;61885;32772;63316;13334;15374;30863;18935;959556
"..Setembro/2008";7507;4552;15061;1913;44256;3154;8621;27968;19573;42210;13896;18729;44530;15161;9323;76724;97953;16617;58606;197277;62168;32280;61107;14023;14070;32003;16208;955490
"..Outubro/2008";7098;4128;14610;2550;43789;3502;8050;29766;20259;39427;13089;19070;40129;15800;8367;74851;99139;16591;56302;194543;63107;33484;61707;13170;16011;30002;19644;948185
"..Novembro/2008";7004;3836;12389;2416;40719;2801;8192;26784;18994;33549;13543;17795;40430;14476;7603;63977;92486;15678;49743;174370;58092;28297;57058;12013;13772;24986;15021;856024
"..Dezembro/2008";6609;4128;12320;2233;39594;2843;7527;26689;17528;37772;11719;17529;41718;13500;6760;64117;88366;14145;51433;175203;60592;30016;58889;11623;14256;27104;16454;860667
"2009";95208;48600;153793;30045;526745;38740;99522;359974;236765;494594;166153;233142;499041;177464;91934;875749;1120784;193198;639460;2273008;764524;391421;731736;158037;179110;363813;186249;11128809
"..Janeiro/2009";6441;4430;11034;2190;40817;2985;7732;25488;17540;35806;11436;17310;36656;13206;6561;59066;89661;13883;48788;162995;61571;31775;54306;12406;13973;26411;14697;829164
"..Fevereiro/2009";7501;4240;10186;1971;40830;3417;8400;27685;17865;37581;12102;17186;38501;12943;6002;67772;88228;14803;47877;168100;60535;29396;55841;12076;13427;28824;12286;845575
"..Março/2009";7835;4162;14478;2277;44278;3285;8562;28238;18734;44671;13708;19556;40282;15160;7414;76268;95288;16113;52967;194928;64642;33671;62681;13079;16026;30928;15658;944889
"..Abril/2009";7882;4894;12991;2340;43555;3657;8347;29743;19614;42769;8833;19662;42457;15809;8291;75434;94012;16696;52141;185550;64514;32252;62314;13510;15127;31076;15366;928836
"..Maio/2009";8462;4647;12876;2974;43281;3118;8694;30099;20785;43616;15359;20977;43116;15930;8976;73385;97785;17488;56148;197319;65056;33055;61609;13623;15967;32108;17818;964271
"..Junho/2009";8033;4291;12803;2570;42611;3033;8741;30095;21417;42324;14699;19690;42510;15097;8024;74149;93841;16443;53924;194082;63470;32362;61481;13430;16037;30969;18101;944227
"..Julho/2009";7950;4582;13929;2828;47090;3263;8229;30610;21133;41986;14831;20004;42447;15243;7875;74643;96457;16467;57288;198671;65637;34494;63836;13898;15171;30315;15968;964845
"..Agosto/2009";7986;4379;13341;3024;46189;3169;8329;31664;20204;42492;15195;20037;42826;14344;7527;75731;95970;17462;55717;198792;64540;33484;64022;13435;14993;30457;16164;961473
"..Setembro/2009";7842;-;13917;3049;46025;3235;8236;32266;19873;41713;14905;19903;42978;15184;8480;77724;93654;16628;55279;199606;64183;34500;62577;13642;14259;30352;15826;955836
"..Outubro/2009";8293;4689;13160;2108;45873;3202;8356;32441;19594;41555;15189;19361;44104;15480;7422;74097;94019;16650;53431;196425;64462;33784;62529;13490;15312;31111;16366;952503
"..Novembro/2009";8497;3959;12689;2592;42567;3358;8221;30734;19815;41079;15229;20169;42527;14542;8240;75297;93239;15761;54201;194467;62807;33206;60772;12874;14639;30799;14682;936962
"..Dezembro/2009";8486;4327;12389;2122;43629;3018;7675;30911;20191;39002;14667;19287;40637;14526;7122;72183;88630;14804;51699;182073;63107;29442;59768;12574;14179;30463;13317;900228
"2010";100265;49687;160880;31199;528520;36584;104039;396170;236534;489136;172761;235608;517767;179644;93575;890115;1129845;194424;666471;2351919;778787;387083;725490;164050;181009;371616;184787;11357965
"..Janeiro/2010";8561;4412;13510;2280;43572;3111;8489;31812;21054;39264;14484;19331;40784;14937;7417;72140;92208;16109;51612;187926;60926;31924;58617;13509;14692;30912;16298;919891
"..Fevereiro/2010";8375;3665;12787;2027;43935;3000;8411;30158;19305;39549;13434;18608;37722;13338;6378;69770;87723;14741;51700;179027;60085;28873;56728;13847;14565;31637;13506;882894
"..Março/2010";8198;4203;13160;2787;45532;2862;8717;33472;21045;41990;15723;20110;41318;15435;7374;78278;96678;15731;57183;201359;65432;33293;59983;13980;15505;32747;16704;968799
"..Abril/2010";8530;4735;14166;2898;43479;2769;8880;32298;20206;41903;15279;19642;43402;15732;8512;76347;95532;15037;56016;202648;65822;32592;60903;13845;15382;31502;16422;964479
"..Maio/2010";8769;4505;13970;2940;46248;2849;9063;33565;21009;43093;15695;20799;43398;15364;8985;77704;97640;16543;58960;200028;66503;31980;63330;14182;15690;31871;17032;981715
"..Junho/2010";8005;4143;14139;2912;44347;3100;8813;33478;20167;41868;14324;19700;44235;14782;7102;71710;94005;16116;56008;195168;65982;31584;59602;13982;14797;30591;15195;945855
"..Julho/2010";8440;3891;14064;2905;43483;3101;8753;33584;19525;41176;14253;20828;44013;15229;8210;74721;95503;16436;58913;196112;65939;32339;62898;13387;15572;29894;15558;958727
"..Agosto/2010";8322;3906;12192;2701;43274;2920;8913;33400;19132;42069;14297;20512;44953;14903;8380;77307;96049;16125;59001;198949;66679;33591;62619;13469;15192;31291;15850;965996
"..Setembro/2010";8776;4051;11684;2762;44740;3289;8797;32585;18820;40624;14405;19609;42600;15730;8254;74047;93876;16952;55198;201568;66009;32410;60015;13962;15347;31608;15067;952785
"..Outubro/2010";8461;3778;14032;2580;43924;2970;8667;34266;18977;39389;13785;19237;45618;15027;7673;74413;93454;16990;54520;192603;65749;32210;60108;13512;15186;30466;14737;942332
"..Novembro/2010";8056;4343;13542;2510;43262;3300;8648;34656;18833;40038;13652;18932;45639;14947;8293;73161;93686;16784;53828;197354;65832;32586;60172;13299;15126;30335;14643;945457
"..Dezembro/2010";7772;4055;13634;1897;42724;3313;7888;32896;18461;38173;13430;18300;44085;14220;6997;70517;93491;16860;53532;199177;63829;33701;60515;13076;13955;28762;13775;929035
"2011";98808;52218;167585;27269;511097;37015;107184;404317;226677;482239;170954;212369;527844;179336;90741;872513;1150138;211434;657720;2363232;762982;399178;699817;156357;174177;355192;183178;11281571
"..Janeiro/2011";8014;4712;14083;1905;44832;3040;8660;33438;19266;39971;13830;17544;42424;13991;7896;71598;93602;16966;52913;188683;64757;30497;55178;12774;14669;29911;14453;919607
"..Fevereiro/2011";7912;4235;12878;1912;43480;2971;8722;33515;18414;41169;13984;18145;43343;14002;6994;68869;90607;16037;53990;190234;62518;31899;52884;12251;14179;30014;14410;909568
