 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Ano/mês processamento e Unidade da Federação
Período:Jan/2008-Mar/2021
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2008";28678308,60;22365143,69;95655211,98;10983016,60;269639839,22;16355880,94;61946604,58;174304121,61;125324961,56;336173822,14;123103680,55;148131074,59;368178903,99;109226734,11;55438872,28;476204799,63;953038363,13;135886506,76;519987783,20;2039524331,41;658920785,18;332747333,49;631500295,49;107780107,42;104322027,09;241210304,82;139427127,24;8286055941,30
"..Janeiro/2008";1388528,39;902416,00;4735529,42;657889,53;18864744,11;1120973,34;3441592,69;10723506,39;7985142,43;15539821,90;5947814,08;10723002,45;14393949,89;6243726,32;2780750,11;21211522,47;45671659,76;5456723,98;23025258,52;91678473,48;38266347,46;16504913,45;30931325,46;5377392,11;4795299,01;15310637,29;4745919,19;408424859,23
"..Fevereiro/2008";2931283,42;1497206,26;7118990,57;777939,31;19553758,20;1268740,33;4985688,85;13559679,41;10079928,25;25735101,55;9509755,83;11386274,47;24181400,95;8376622,16;3676483,16;28189304,95;70194037,10;9102212,86;28394310,93;148677526,82;55384670,52;25651429,11;57363420,01;7002472,61;8684882,23;22258668,68;7632480,67;613174269,21
"..Março/2008";1541682,52;1794028,48;8196635,49;718688,03;21937342,70;974651,24;6205612,60;13985142,36;10298372,45;28724625,75;10352238,59;12053643,87;29991302,71;8408336,22;5051473,61;34181483,52;79231336,95;10249595,97;44567062,94;156087269,23;53801318,85;26743524,89;51547794,07;8423933,19;7886243,14;21442515,75;9647203,26;664043058,38
"..Abril/2008";1525314,96;1730469,42;8259378,42;839994,39;20842829,69;1141137,32;4984482,09;14809416,46;10775976,33;30676457,06;10855108,50;12653528,76;34806197,97;9090794,82;5046063,36;39026934,13;77136537,58;11253833,56;44054604,82;161227125,43;52460306,69;27181488,26;56673338,49;8797487,68;8794109,79;20921212,45;11098732,99;686662861,42
"..Maio/2008";1645953,84;1819443,92;7831399,90;862347,96;23249952,88;866346,18;5511002,46;14505727,38;10398360,88;30604453,47;11160168,19;12215107,11;32147987,35;9338771,45;4741151,56;42949566,82;80554440,63;10198619,17;44911021,15;187119397,64;54419620,71;26845308,18;48397733,07;9770421,80;9231645,40;21615970,67;12891719,72;715803639,49
"..Junho/2008";1406150,68;1828496,00;8477273,62;832440,66;23240687,56;1440978,95;4927934,22;14908091,32;10528253,88;31272395,18;10475071,38;12256928,49;32239094,89;10068210,08;5401259,63;47025972,04;94758522,83;13364258,29;48056212,24;187291126,07;57811688,48;29909762,04;52413429,62;10905392,18;10221763,77;18270043,87;12850125,67;752181563,64
"..Julho/2008";3065279,01;2511754,59;9368858,72;996693,09;24002223,56;1426659,48;5445602,28;15784899,40;11040107,92;30925391,36;11386349,96;12755413,77;32685640,76;9887061,61;5521904,44;47481695,17;85360064,11;13035374,08;49872379,35;194398399,48;58094241,83;30789135,84;56636376,98;10249299,82;9163314,28;20540517,13;12565646,74;764990284,76
"..Agosto/2008";3231494,61;2089107,14;9352532,70;894271,18;23341218,03;1475551,38;5413710,38;15195312,89;10549176,40;27851438,72;10640817,47;12872578,37;35457038,66;9373432,00;5238398,50;46931248,28;84722528,10;12588595,77;50912706,60;184854516,35;56982774,90;31250854,33;56113054,70;9671553,45;9243148,81;20650730,67;13710857,89;750608648,28
"..Setembro/2008";3117178,63;2275708,53;9363099,35;910424,17;25172261,32;1651341,43;5596669,50;14951277,75;10899198,97;30362719,90;11336030,28;12558296,11;33668261,46;9563580,50;5187912,19;44883379,31;84601757,95;12727433,30;49270352,76;188636359,55;57549082,26;30019676,93;55356224,30;10218511,05;9052354,89;20868443,56;13165106,20;752962642,15
"..Outubro/2008";3068430,44;1923886,57;8618318,83;1191770,32;24011712,48;1866748,58;4658414,01;16072219,28;11715943,38;27657898,74;10606465,07;12768727,85;30579747,51;9805242,71;4584068,70;41920011,46;85559789,46;12656039,16;46434912,38;179706467,00;57121887,41;31957603,59;53637713,13;9547923,55;9677093,95;20621423,04;15048607,23;733019065,83
"..Novembro/2008";2825838,52;1756986,80;6555549,08;1056218,71;21526303,70;1426138,18;5252451,80;14016545,04;10369913,55;23572202,62;10742812,44;12305712,88;31049830,56;9483679,98;4096786,86;37524744,74;78329947,11;11456719,61;39907347,52;167990352,53;53117936,61;25115484,86;53699506,08;9450010,19;7150345,50;17094580,10;11343166,62;668217112,19
"..Dezembro/2008";2931173,58;2235639,98;7777645,88;1244339,25;23896804,99;1696614,53;5523443,70;15792303,93;10684587,12;33251315,89;10091048,76;13581860,46;36978451,28;9587276,26;4112620,16;44878936,74;86917741,55;13797101,01;50581613,99;191857317,83;63910909,46;30778152,01;58730379,58;8365709,79;10421826,32;21615561,61;14727561,06;775967936,72
"2009";43168433,96;27339128,19;105997335,28;17116094,26;317444388,93;21871680,65;75669357,12;215074441,27;146491970,81;405557699,57;145904288,30;184161031,38;438285002,54;132886107,72;67738437,82;591109057,21;1159958411,42;173153479,47;617474419,94;2544642933,21;791002497,01;422107491,92;757636446,53;134933491,09;134879528,76;287960230,30;165355244,61;10124918629,27
"..Janeiro/2009";2885269,07;2497116,43;7403068,36;1085679,25;24613320,93;1665895,54;5791656,63;14782429,14;10448286,35;28809087,67;9571714,81;13493164,47;31009217,35;9118308,54;4087554,91;39955776,96;91374305,25;11872595,72;46203403,72;182797194,35;64523066,04;35330776,38;57629317,06;10033643,71;9939399,66;20678552,05;12448821,12;750048621,47
"..Fevereiro/2009";2860103,74;2253558,01;6683346,89;969528,54;24015940,01;1719940,00;5814388,89;16842416,53;10617670,35;31631678,94;10699503,66;13482978,09;32989186,42;9492457,06;4066137,68;43111707,75;90153672,61;13159401,04;47094280,97;186855294,82;60783727,39;29003233,40;58779088,02;10746263,10;9332546,32;23043942,78;10378991,59;756580984,60
"..Março/2009";3684944,68;2122673,92;9927781,20;1393226,70;26624310,10;1750321,77;6273994,59;16681626,41;11401299,72;36939120,91;11613016,25;14827006,61;35816570,57;11050019,89;5347746,85;49779947,78;95290591,54;14112825,59;50808893,61;212777859,48;65633573,31;34665661,11;63366430,89;10849523,03;11965500,15;23334312,45;13844384,56;841883163,67
"..Abril/2009";3607289,68;2834317,62;8844511,21;1273734,17;26478979,58;2052705,19;6762806,93;17735055,55;12428589,39;34179912,08;9515920,85;15397556,53;35969258,01;11833838,52;5864474,02;50014602,82;94091211,77;14441001,76;49188045,37;203186114,01;64759375,78;33835731,44;62200230,97;10902848,13;11185014,96;23508108,16;13014468,49;825105702,99
"..Maio/2009";3774356,60;2722065,97;9079035,96;1552638,50;26366401,19;1915803,55;6575718,57;17466345,31;13096561,66;36272200,59;12872004,45;16277442,59;38381369,46;11964555,99;6673113,20;48790551,80;99076844,10;15869485,76;54038727,15;217040531,70;65902215,41;35240482,92;61683824,68;11991649,26;12058150,55;23947606,91;15199322,19;865829006,02
